"nota","tgl","kode","tarif","fpkt"
"JL23110019","2023-11-23","0023","35000",
"JL23110020","2023-11-25","0013","120000",
"JL23110021","2023-11-26","0004","120000",
"JL23110021","2023-11-26","0004","120000",
"JL23110021","2023-11-26","0007","50000",
"JL23110022","2023-11-26","0035","110000",
"JL23110023","2023-11-30","0003","95000",
"JL23110024","2023-11-30","0026","70000",
"JL23110024","2023-11-30","0024","135000",
"JL23120001","2023-12-01","0017","99000",
"JL23120002","2023-12-01","0017","99000",
"JL23120003","2023-12-02","0035","110000",
"JL23120004","2023-12-02","0003","95000",
"JL23120005","2023-12-02","0019","135000",
"JL23120006","2023-12-02","0035","110000",
"JL23120007","2023-12-08","0011","45000",
"JL23120007","2023-12-08","0013","120000",
"JL23120008","2023-12-08","0012","65000",
"JL23120008","2023-12-08","0011","45000",
